"","logFC","AveExpr","t","P.Value","adj.P.Val","B","TC_ID"
"TC06002976.hg.1",-1.04362844848485,2.94481738383838,-8.62139547931429,2.06772351968847e-15,1.70952011464232e-13,24.4725611568105,"TC06002976.hg.1"
"TC15001710.hg.1",-1.41164456969697,7.96158355555556,-8.6154915749804,2.14680188252848e-15,1.76867884534528e-13,24.4358690730569,"TC15001710.hg.1"
"TC02004677.hg.1",-1.60736469090909,2.45238239393939,-8.60378142549637,2.31263495037055e-15,1.89204123671673e-13,24.3631252331798,"TC02004677.hg.1"
"TC0X002326.hg.1",-2.11816773939394,3.86742685353535,-8.5563706166946,3.12425254005189e-15,2.48684058893105e-13,24.0690640985685,"TC0X002326.hg.1"
"TC04002938.hg.1",-1.08546727878788,4.46585302525253,-8.55064721725707,3.2396307389757e-15,2.56418045572148e-13,24.0336150532241,"TC04002938.hg.1"
"TC06003119.hg.1",-2.01202697575758,3.28584433838384,-8.52937077923382,3.70682902501871e-15,2.89818961564739e-13,23.9019298008414,"TC06003119.hg.1"
"TC10002843.hg.1",-2.44079487272727,4.95671915151515,-8.52351784032786,3.84667995423522e-15,2.99425397806325e-13,23.8657307414296,"TC10002843.hg.1"
"TC21000892.hg.1",-1.72922770303031,5.28981676262626,-8.51656989369299,4.01950214597486e-15,3.1047902501707e-13,23.8227740682136,"TC21000892.hg.1"
"TC14000377.hg.1",-1.03943736969697,5.24983985858586,-8.4909633327648,4.7255785587851e-15,3.59118509376295e-13,23.664596598107,"TC14000377.hg.1"
"TC14000694.hg.1",-1.55049442424242,4.31919731313131,-8.36918856428712,1.01718369736705e-14,7.06747250142037e-13,22.9153952096187,"TC14000694.hg.1"
"TC11003282.hg.1",-1.31746704848485,3.45567742929293,-8.36499464046118,1.04430521535621e-14,7.22743245363747e-13,22.8896830623437,"TC11003282.hg.1"
"TC18000692.hg.1",-1.14894412727273,4.57346546969697,-8.32434039152212,1.34732253998259e-14,9.05788631908413e-13,22.6407560170324,"TC18000692.hg.1"
