"","logFC","AveExpr","t","P.Value","adj.P.Val","B","TC_ID"
"TC03002131.hg.1",1.22263707272727,5.67437122727273,6.44514892666487,8.54119467003776e-10,1.78315770193923e-08,11.8698903082006,"TC03002131.hg.1"
"TC02003744.hg.1",1.04982953333334,9.58441900505051,6.37898067141793,1.22388285028451e-09,2.46253609844835e-08,11.5210558247019,"TC02003744.hg.1"
"TC01001622.hg.1",1.27841104848484,5.63227275252525,6.36015718555658,1.35518954126232e-09,2.69825048047552e-08,11.4222506354048,"TC01001622.hg.1"
"TC13000829.hg.1",1.00522836969697,6.10270603535353,6.31890767678201,1.69319859259219e-09,3.28228269228639e-08,11.2064032442852,"TC13000829.hg.1"
"TC02000398.hg.1",1.03318719393939,6.09633454040404,6.28362782606302,2.04696156780307e-09,3.88426633486814e-08,11.0225309772441,"TC02000398.hg.1"
"TC12000886.hg.1",1.10839592727273,6.65430436363636,5.95640045703747,1.15194026061247e-08,1.83755446729639e-07,9.35030968062615,"TC12000886.hg.1"
"TC01002932.hg.1",1.23420347272728,5.70988725757576,5.95005238292225,1.19050441884682e-08,1.89521316321297e-07,9.31847595453408,"TC01002932.hg.1"
"TC01004027.hg.1",1.01195672121212,5.28303947979798,5.8222506483437,2.29893608272712e-08,3.43636857486572e-07,8.68263636944941,"TC01004027.hg.1"
"TC11002237.hg.1",1.67907193939394,3.92878443434343,5.73315962908919,3.61692147681021e-08,5.13334983515973e-07,8.24515517447601,"TC11002237.hg.1"
"TC02000034.hg.1",1.12403323636363,5.51676296969697,5.62921763866123,6.10105069183099e-08,8.25843374165061e-07,7.74084547776626,"TC02000034.hg.1"
"TC11002239.hg.1",2.01766151515152,4.78291611111111,5.58388818674563,7.6481479419584e-08,1.01039079437689e-06,7.52299838957337,"TC11002239.hg.1"
"TC17000406.hg.1",1.43917041818182,5.94566337878788,5.55430665683938,8.85769260229607e-08,1.15210449168522e-06,7.3815230175882,"TC17000406.hg.1"
"TC02003008.hg.1",1.23287811515151,4.06113973232323,5.50444265424378,1.13314565554926e-07,1.43289996532724e-06,7.14428647320634,"TC02003008.hg.1"
"TC01005928.hg.1",1.43188892121212,5.47445167676767,5.48023103394643,1.27639991165797e-07,1.59743657444286e-06,7.02966055239667,"TC01005928.hg.1"
